Company,Content,Date,LinkSrc,Title
연합뉴스,(평택=연합뉴스) 홍기원 기자 = 자유한국당 당대표 출마를 선언한 황교안 전 국무총리가 30일 오전 경기도 평택시 해군2함대를  ,12분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610052,천안함 둘러보는 황교안 전 총리
데일리안,자유한국당 김무성 정진석 의원이 30일 오전 국회에서 열리는 비대위원-중진의원 연석회의에 참석하고 있다. 데일리안 박항구 기자 ,12분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002308815,<포토>비대위원-중진의원 연석회의 참석하는 김무성-정진석
뉴시스,【서울=뉴시스】 해군 정비창은 전군 최초로 국제표준 안전보건경영시스템인 ‘ISO 45001’ 인증을 획득했다. 정비창은 지난 2 ,12분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039218,"해준 정비창, 전군 최초 ISO 45001 인증 획득"
뉴시스,【세종=뉴시스】강종민 기자 = 국립해양조사원 임관창 서기관이 30일 오전 정부세종청사에서 지난해 말 실시한 한강하구 공동이용수역 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039217,한강하구 남북 공동이용수역 해도 완성
뉴시스,【세종=뉴시스】강종민 기자 = 국립해양조사원 임관창 서기관이 30일 오전 정부세종청사에서 지난해 말 실시한 한강하구 공동이용수역 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039216,한강하구 남북 공동이용수역 해도 완성
뉴시스,【세종=뉴시스】강종민 기자 = 국립해양조사원 임관창 서기관이 30일 오전 정부세종청사에서 지난해 말 실시한 한강하구 공동이용수역 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039215,한강하구 남북 공동이용수역 해도 완성
뉴시스,【세종=뉴시스】강종민 기자 = 국립해양조사원 임관창 서기관이 30일 오전 정부세종청사에서 지난해 말 실시한 한강하구 공동이용수역 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039214,한강하구 남북 공동이용수역 해도 북에 전달
동아일보,나경원 자유한국당 원내대표는 청와대가 문재인 대통령의 딸 다혜 씨 가족의 해외 이주 의혹을 소상히 밝혀야 한다고 밝혔다. 나 원 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003196264,"나경원 “靑, 문재인 대통령 딸 해외이주 의혹 소상히 밝혀라”"
뉴스1,(서울=뉴스1) 양새롬 기자 = 청와대가 요청해 김혁철 전 스페인 주재 북한대사가 스티븐 비건 미 국무부 대북정책특별대표의 카운 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0003811368,"靑 ""北김혁철을 美비건 카운터파트로 요청? 사실무근"""
뉴시스,【서울=뉴시스】이종철 기자 = 30일 서울 여의도 국회에서 열린 바른미래당 제61차 최고위원회의 및 2019 광주세계수영선수권대 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039212,물 마시는 손학규 대표
뉴시스,【서울=뉴시스】이종철 기자 = 30일 서울 여의도 국회에서 열린 바른미래당 제61차 최고위원회의 및 2019 광주세계수영선수권대 ,13분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009039211,물 마시는 손학규 대표
